ssn|cc_num|first|last|gender|job|dob|acct_num|trans_num|trans_date|trans_time|unix_time|category|amt|merchant|ip_address|payment_type
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|0bd149c6609bd1051bb9d0ee4d3617dd|2021-01-03|13:52:22|1609681942|shopping_net|5.75|Norris and Sons|180.238.191.127|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|494d169db0f951d962573f65ef14d1ac|2021-01-07|03:34:35|1609990475|gas_transport|45.08|Olson Inc|37.165.255.32|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|ce541958ec968773977c3edd8e8e3b7c|2021-01-23|13:36:22|1611408982|misc_pos|5.80|Jones LLC|36.234.142.222|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|11b4963a849c2bb2d358fb5b9497b656|2021-01-05|20:24:02|1609878242|shopping_net|4.31|Leblanc Group|185.31.193.162|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|3586e2f647e6279bd47098ff8a2d7549|2021-01-24|21:03:39|1611522219|kids_pets|116.47|Nguyen, Santiago and Spencer|52.176.2.78|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|bbec49167ba2dfac1e48bd7fd57ccbd7|2021-01-29|11:08:35|1611918515|gas_transport|50.18|Cantu PLC|179.198.112.235|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|c64dcdf34dd582ef192402756ce3ca73|2021-01-07|16:58:52|1610038732|home|23.99|Hampton-Rollins|4.198.225.188|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|ef1d8f1049c98e401e12d0af06c1c9ee|2021-01-09|13:54:35|1610200475|kids_pets|18.69|Nguyen, Santiago and Spencer|173.121.96.230|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|25b2f571c452e300143e30cda0d45409|2021-01-20|06:29:03|1611124143|grocery_pos|140.02|Clarke Inc|164.111.148.126|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|24fbacc7d20f54f54c022ea8241b92c7|2021-01-08|10:35:11|1610102111|grocery_pos|98.31|Dennis-Mccoy|167.6.108.14|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|b61b86700b49da49e19fafaf944425d3|2021-01-21|22:01:25|1611266485|shopping_pos|9.14|Lewis-Moore|74.3.191.62|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|c68dce8d3f05fe8fd9f2e00114d6e133|2021-01-07|08:25:26|1610007926|gas_transport|57.83|Mills, Martin and Barnes|138.49.200.246|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|1b70b60193a78d2234e566be04bbf310|2021-01-02|23:31:09|1609630269|shopping_pos|556.58|Mosley-Deleon|173.247.247.156|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|7d54e94f6bf9af53f0602707daa8e79a|2021-01-27|15:28:12|1611761292|shopping_pos|9.25|Mosley-Deleon|150.213.59.89|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|d15b04cb2ae5a0164b6d83650f10aa0a|2021-01-22|23:27:53|1611358073|home|44.20|Johnson-Brown|25.146.66.169|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|a371610839044cc97b6805d5ffe0e825|2021-01-14|22:32:38|1610663558|food_dining|6.01|Neal LLC|89.214.56.112|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|b32a527ce578e34c614ddb493279c303|2021-01-16|11:40:35|1610797235|gas_transport|60.04|Mills, Martin and Barnes|40.129.2.156|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|39209884069071de82684d2e69840cfc|2021-01-24|16:32:36|1611505956|travel|3.74|Walters-Butler|147.85.237.13|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|f0296ef3375d769b8ac28f80bb841eaa|2021-01-01|19:45:25|1609530325|kids_pets|7.28|Peterson-Zimmerman|23.142.81.149|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|df5276f87d611f38a92c84341be15fe4|2021-01-05|01:33:32|1609810412|gas_transport|48.70|Randall-Church|103.46.101.104|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|0499cc6d9b985fa006c15c69de1f9d45|2021-01-27|13:51:46|1611755506|entertainment|40.17|Shea LLC|157.243.88.39|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|698ba419fd62a23cf550ea85480535c8|2021-01-03|16:07:43|1609690063|home|30.84|Taylor-Baker|160.137.88.98|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|bfb2b2733ee91c0a52f31a61356a2323|2021-01-21|02:57:54|1611197874|gas_transport|49.15|Randall-Church|96.131.153.25|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|4b04aa7f66dc0425547e19cc3ab468d8|2021-01-10|13:10:21|1610284221|kids_pets|23.95|Peterson-Zimmerman|223.188.69.88|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|d89cad0de2c654faefd57265ba05f44a|2021-01-17|13:11:32|1610889092|shopping_net|4.33|Lewis-Moore|39.92.49.100|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|fe9e2b9f34185609f44cec74ab752ea7|2021-01-19|15:44:19|1611071059|food_dining|9.69|Smith, Sanchez and Villanueva|88.124.26.50|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|c253f4bf4f16452beb0f859de22edd5f|2021-01-28|23:39:05|1611877145|shopping_net|5.89|Durham, Cole and Carroll|101.78.61.235|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|606196a85262acdd34c1783ca191bdbd|2021-01-02|03:52:37|1609559557|misc_net|37.66|Church-Williams|105.33.236.150|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|338673cf9eb8a556c733c3dff7e7cfaa|2021-01-24|20:07:28|1611518848|food_dining|2.96|Smith-Davis|210.178.138.51|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|ccc0aadbf23b5f37af208a9441b6e2af|2021-01-24|10:47:09|1611485229|grocery_pos|93.73|Lynch Ltd|178.251.135.165|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|3339fd0a37aa9099711f0f68716c08d2|2021-01-02|20:02:03|1609617723|personal_care|29.35|Pierce-Cannon|146.107.71.32|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|0504c30aaa0024c89b86d8de4afd8f8b|2021-01-27|19:24:24|1611775464|shopping_pos|3.85|White-Mclean|187.28.215.111|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|cce0568dae522bf089d678010063b9cf|2021-01-01|22:28:22|1609540102|entertainment|135.87|Daniels-White|30.219.14.6|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|5ed7e62261b057cd087ebd8dac830ccf|2021-01-30|06:51:53|1611989513|grocery_pos|96.43|Dennis-Mccoy|16.76.228.106|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|47263fb4fb6c31103bdf5a848c54e978|2021-01-30|22:38:05|1612046285|shopping_net|7.97|Norris and Sons|218.73.154.31|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|696cd068d2953888970cf84c27b96742|2021-01-16|10:58:59|1610794739|gas_transport|57.16|Cantu PLC|109.153.27.185|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|44f20dd6acd3d8fa2837a99943bcf8f7|2021-01-23|06:51:03|1611384663|gas_transport|62.51|Mills, Gould and Gonzalez|212.64.235.82|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|9788a7edcdcac0cf1714414d8f467be4|2021-01-16|10:38:45|1610793525|grocery_pos|105.28|Livingston-Johnson|88.68.127.21|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|6323d02f843481ce95ae3df9fe92b18f|2021-01-16|21:45:41|1610833541|travel|1.66|Garcia-French|70.5.190.34|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|862625ed57556053ef6af70943acec1e|2021-01-02|04:43:37|1609562617|gas_transport|84.09|Park, Steele and Gonzales|205.23.62.109|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|9751df6f35db94b7862c2318f31827dd|2021-01-07|14:37:34|1610030254|shopping_pos|4.25|Hernandez-Reyes|39.138.10.211|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|23d6ad7c77f2e760b505ba5d6416405b|2021-01-22|16:58:53|1611334733|food_dining|5.08|Hansen PLC|210.222.185.57|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|f2a2869d3d0b09c834b821293b0ec43d|2021-01-17|11:13:38|1610882018|gas_transport|65.75|Mills, Gould and Gonzalez|165.73.196.175|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|3157db514bb47db93bdff55f7efc33c4|2021-01-27|13:27:09|1611754029|food_dining|20.92|Anderson Inc|204.118.73.184|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|a8977f330d7fe4b5621254472ec9a208|2021-01-03|10:52:38|1609671158|grocery_pos|80.03|Torres-Moon|169.130.176.220|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|d7643a894b6914cdeab6ad2b32bd5c33|2021-01-15|19:50:36|1610740236|shopping_net|1.51|Shea, Dorsey and Torres|73.151.199.141|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|dd3e8fc79e2b36ad5708a6b7fda22ef1|2021-01-11|12:04:13|1610366653|misc_pos|6.01|Shea-Barron|155.185.221.213|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|4950339c632895ee98709c19f47abcc0|2021-01-31|16:17:00|1612109820|health_fitness|21.82|Reeves-Tate|121.255.58.57|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|c4e29c48d2bf3e495ab5b9e4b947d98a|2021-01-24|11:46:58|1611488818|gas_transport|59.26|Olson Inc|210.202.253.77|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|a93e68643cc78e2ae62ab86dba3dbd1c|2021-01-24|08:25:05|1611476705|grocery_pos|100.25|Daniels, Scott and Hawkins|112.239.35.175|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|083522de02d8596191f6f3cda72d1835|2021-01-30|20:41:35|1612039295|health_fitness|20.04|Garcia Group|117.134.160.132|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|bee1638b3c05c4a21253f7adc49a4672|2021-01-08|14:55:12|1610117712|misc_pos|1.07|Miles, Martinez and Davidson|205.252.44.190|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|344bfcc43d4b9c50eba1c4f0d24d0867|2021-01-29|05:07:29|1611896849|gas_transport|50.76|Buchanan, Klein and Moss|110.208.129.13|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|4e317d156dcf6e4888349c7e19b031df|2021-01-29|18:40:56|1611945656|health_fitness|13.80|Estes-Olsen|113.141.45.75|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|d1b0c15c38f79fd45dbb49604eb45b06|2021-01-07|13:01:50|1610024510|shopping_pos|5.00|White-Mclean|6.162.91.7|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|4fb0be7f599d78f5b57881e1cf7115b5|2021-01-25|10:45:01|1611571501|gas_transport|31.13|Cantu PLC|148.101.234.11|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|6197d6f0408213c4492c5553ed6780f1|2021-01-17|20:29:58|1610915398|shopping_net|7.73|Powell-Fitzgerald|24.255.76.185|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|5f95e4355a01f900b06e2f430e43b3d4|2021-01-17|07:16:20|1610867780|grocery_net|16.27|Collins and Sons|14.48.40.242|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|bd3294e88cfef4ede0bf534ca5c6e406|2021-01-23|04:42:26|1611376946|misc_net|1.37|Anderson LLC|146.20.16.120|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|78d140a4b41b23fca6ebbf989d99aabb|2021-01-23|17:00:13|1611421213|misc_pos|4.17|Mitchell, Kelley and Powell|143.184.230.76|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|f9a2413178c7bc8c97ae0b1f7115b650|2021-01-30|00:44:58|1611967498|gas_transport|43.96|Buchanan, Klein and Moss|2.187.133.137|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|7034c7830fc3d0dac3311e6b5c54eb8e|2021-01-28|20:51:47|1611867107|health_fitness|23.28|Burnett, Lindsey and Anderson|76.255.146.228|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|4ec13b6615e53c2ede5e559570320fb8|2021-01-30|22:45:57|1612046757|shopping_net|7.21|Powell-Fitzgerald|189.153.146.164|online
250-97-0036|2644625339748214|Angela|Williams|F|Insurance broker|1989-05-14|934384811883|4fd04e1cc67696d49f0258a1a2d4bde5|2021-01-11|16:24:52|1610382292|shopping_net|2.39|Shea, Dorsey and Torres|124.180.128.236|online
384-91-3754|503853001025|Beverly|Williams|F|Surveyor, insurance|1990-08-26|855115135598|4bbe4a6473cfbc25d4ffacfd03c63b91|2021-01-24|21:55:43|1611525343|home|17.97|Johnson-Brown|46.226.67.38|online
384-91-3754|503853001025|Beverly|Williams|F|Surveyor, insurance|1990-08-26|855115135598|52e652957563fc149c14b718a463ae34|2021-01-11|10:57:19|1610362639|gas_transport|27.28|Mills, Martin and Barnes|85.23.190.237|online
384-91-3754|503853001025|Beverly|Williams|F|Surveyor, insurance|1990-08-26|855115135598|3f8f1f1639153f32ecc11eba7f9ad656|2021-01-25|03:26:37|1611545197|grocery_pos|62.14|Clarke Inc|18.3.88.169|online
384-91-3754|503853001025|Beverly|Williams|F|Surveyor, insurance|1990-08-26|855115135598|dd8318d2ce0fab7d4d99c95ad7421654|2021-01-13|21:35:13|1610573713|kids_pets|67.22|Peterson-Zimmerman|123.236.3.235|online
384-91-3754|503853001025|Beverly|Williams|F|Surveyor, insurance|1990-08-26|855115135598|616e9f667e4148c11b6a281a0f2f82b5|2021-01-17|02:53:50|1610852030|grocery_pos|105.56|Clarke Inc|77.96.92.222|online
384-91-3754|503853001025|Beverly|Williams|F|Surveyor, insurance|1990-08-26|855115135598|cb01907d49af21d84024b04f4a5e626f|2021-01-23|15:48:14|1611416894|food_dining|3.19|Reid and Sons|203.119.172.254|online
384-91-3754|503853001025|Beverly|Williams|F|Surveyor, insurance|1990-08-26|855115135598|13e6617046c281622e0bdef026d77030|2021-01-17|06:31:15|1610865075|gas_transport|74.37|Curtis and Sons|49.139.86.247|online
384-91-3754|503853001025|Beverly|Williams|F|Surveyor, insurance|1990-08-26|855115135598|878ecd7fe2917445226d2fac40bf50e6|2021-01-12|22:22:55|1610490175|food_dining|10.18|Neal LLC|132.248.61.72|online
384-91-3754|503853001025|Beverly|Williams|F|Surveyor, insurance|1990-08-26|855115135598|b135feecac7ce573456ae03605a3dfc5|2021-01-09|13:33:48|1610199228|shopping_pos|4.83|Mosley-Deleon|177.213.69.149|online
384-91-3754|503853001025|Beverly|Williams|F|Surveyor, insurance|1990-08-26|855115135598|0980cbb55826718d80541b302da7d44b|2021-01-24|08:19:10|1611476350|grocery_net|42.20|Hunter-Gibson|192.94.52.250|online
384-91-3754|503853001025|Beverly|Williams|F|Surveyor, insurance|1990-08-26|855115135598|562c9ff1d158660473ddf007bb856a90|2021-01-14|19:17:24|1610651844|health_fitness|17.33|Estes-Olsen|188.242.74.208|online
384-91-3754|503853001025|Beverly|Williams|F|Surveyor, insurance|1990-08-26|855115135598|c614f82517928e29d4f0dc17fd6754ad|2021-01-20|08:35:49|1611131749|grocery_net|58.59|Mullins-Tyler|43.89.192.199|online
384-91-3754|503853001025|Beverly|Williams|F|Surveyor, insurance|1990-08-26|855115135598|e86a4c8f4514fe7c31c5eccd1383e6d3|2021-01-30|16:34:19|1612024459|entertainment|23.53|Cobb-Hayden|86.147.231.23|online
384-91-3754|503853001025|Beverly|Williams|F|Surveyor, insurance|1990-08-26|855115135598|9da0b575cf65a253c6b66971507bebb7|2021-01-30|15:30:13|1612020613|travel|58.69|Smith PLC|4.225.41.229|online
384-91-3754|503853001025|Beverly|Williams|F|Surveyor, insurance|1990-08-26|855115135598|2d3336c41f5aaa1b193e752d4fc9ca48|2021-01-30|19:14:12|1612034052|entertainment|5.87|Gibson-Moreno|57.239.94.248|online
384-91-3754|503853001025|Beverly|Williams|F|Surveyor, insurance|1990-08-26|855115135598|ca7d39296a172b6bba375cc56d6d1452|2021-01-15|16:41:35|1610728895|travel|5.08|Smith PLC|201.219.196.37|online
384-91-3754|503853001025|Beverly|Williams|F|Surveyor, insurance|1990-08-26|855115135598|32de01d79e620b5f59833a8f4103a348|2021-01-27|21:12:30|1611781950|entertainment|121.09|Dalton, Bowman and Henderson|124.179.191.106|online
384-91-3754|503853001025|Beverly|Williams|F|Surveyor, insurance|1990-08-26|855115135598|8d423a262c89317bc3a250a2ec11c20c|2021-01-24|14:06:55|1611497215|entertainment|118.16|Dalton, Bowman and Henderson|5.108.36.53|online
384-91-3754|503853001025|Beverly|Williams|F|Surveyor, insurance|1990-08-26|855115135598|c4bce2d2a3115c5fde40fac047f4ef97|2021-01-10|16:33:38|1610296418|shopping_net|9.61|Powell-Fitzgerald|48.11.190.201|online
384-91-3754|503853001025|Beverly|Williams|F|Surveyor, insurance|1990-08-26|855115135598|218dfbe93cb15f64db0107c458b4b166|2021-01-04|19:04:26|1609787066|misc_pos|6.74|Mcclure-Marshall|197.218.195.236|online
384-91-3754|503853001025|Beverly|Williams|F|Surveyor, insurance|1990-08-26|855115135598|ebc969e2245db8f49eaae0941aa40f9f|2021-01-24|16:26:43|1611505603|personal_care|20.54|Dyer LLC|44.165.18.154|online
384-91-3754|503853001025|Beverly|Williams|F|Surveyor, insurance|1990-08-26|855115135598|806b9ea105803fc9c62d738bddb39a0b|2021-01-28|22:45:17|1611873917|misc_pos|4.75|Taylor-Hubbard|144.108.84.10|online
384-91-3754|503853001025|Beverly|Williams|F|Surveyor, insurance|1990-08-26|855115135598|45b87ab7a946f2c2c870c000e011b843|2021-01-08|22:05:34|1610143534|misc_pos|1.19|Morris, Robles and Love|197.65.190.112|online
384-91-3754|503853001025|Beverly|Williams|F|Surveyor, insurance|1990-08-26|855115135598|8f5f3f6e377f8fa8a9ef5b376fb47379|2021-01-27|11:17:23|1611746243|gas_transport|55.28|Olson Inc|203.92.181.208|online
384-91-3754|503853001025|Beverly|Williams|F|Surveyor, insurance|1990-08-26|855115135598|6f8b5a39e428c0e8ab590ad7e0c8a93f|2021-01-09|12:28:05|1610195285|entertainment|59.12|Cobb-Hayden|156.107.57.6|online
384-91-3754|503853001025|Beverly|Williams|F|Surveyor, insurance|1990-08-26|855115135598|2bc66570789a5c2e11144bb72de2dde7|2021-01-01|10:56:32|1609498592|gas_transport|59.42|Park, Steele and Gonzales|192.19.71.210|online
384-91-3754|503853001025|Beverly|Williams|F|Surveyor, insurance|1990-08-26|855115135598|22a4eb5755546dc450d3f9966f8f0c86|2021-01-16|18:31:06|1610821866|shopping_pos|8.81|Farmer Ltd|13.126.156.170|online
384-91-3754|503853001025|Beverly|Williams|F|Surveyor, insurance|1990-08-26|855115135598|581ea2dfa39c41918d096c2c262ec767|2021-01-05|23:37:18|1609889838|kids_pets|52.28|Anderson, Brooks and Roberts|24.74.15.160|online
384-91-3754|503853001025|Beverly|Williams|F|Surveyor, insurance|1990-08-26|855115135598|3829b5ae373322cfc3e7a07d99c9da68|2021-01-18|23:46:12|1611013572|personal_care|32.37|Smith Ltd|4.9.173.131|online
