ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile
318-10-4053|2298596753091275|Katie|Floyd|F|1453 Ryan Key|Scranton|KS|66537|38.788|-95.748|1448|Hospital doctor|1971-03-04|56623946244|adults_50up_female_rural.json
311-19-6263|348527027917296|Victoria|Johnson|F|25361 Shea Ports Suite 453|Turtletown|TN|37391|35.1081|-84.3544|1598|Tourism officer|1998-11-18|11627731761|young_adults_female_rural.json
795-39-6122|343121175959162|Jamie|Camacho|M|49390 Rebecca Mountain|Roanoke|VA|24011|37.269|-79.942|165571|Sports administrator|1977-12-19|815381017213|adults_2550_male_urban.json
184-62-8064|4000125163938589|Jocelyn|Reed|F|8581 Robinson Roads|Daytona Beach|FL|32117|29.2353|-81.0658|145713|Horticultural consultant|1997-03-26|953283481232|young_adults_female_urban.json
765-66-9977|4327154772068|Brian|Vargas|M|654 Ramos Pines|Kanopolis|KS|67454|38.7091|-98.1575|563|Housing manager/officer|1964-03-16|654921882966|adults_50up_male_rural.json
853-20-9776|4827278576299411|Jacob|Green|M|22051 Diane View Apt. 150|Kindred|ND|58051|46.6543|-97.0049|1458|Teacher, adult education|2002-12-21|312684351748|young_adults_male_rural.json
593-07-9099|3598959733322282|Kimberly|Franco|F|721 Glover Village Suite 991|Tyronza|AR|72386|35.4865|-90.3519|1777|Development worker, international aid|1990-04-11|250720936921|adults_2550_female_rural.json
206-38-3122|675979627238|Laura|Walters|F|501 Murphy Pines Suite 997|Pruden|TN|37851|36.5579|-83.8139|36|Illustrator|1974-05-26|967525298951|adults_2550_female_rural.json
555-80-3039|378600750871528|Angelica|Mcdowell|F|3852 Jones Camp|Nephi|UT|84648|39.6923|-111.8359|5776|Warehouse manager|1997-10-24|690627754922|young_adults_female_urban.json
291-75-4541|4013708727810157|Edward|Sparks|M|5590 Mills Tunnel Suite 942|Cresson|PA|16699|40.4845|-78.7022|6549|Systems developer|1935-01-04|800762817414|adults_50up_male_urban.json
515-65-3786|6011849785662614|Dorothy|Gutierrez|F|90346 King Stream|Browns Valley|MN|56219|45.6069|-96.8062|1082|Database administrator|1999-03-25|6603809416|young_adults_female_rural.json
704-58-1664|060409605239|Vincent|Oliver|M|70292 Matthew Run|Fort Ann|NY|12827|43.4285|-73.4784|3877|Glass blower/designer|1936-07-04|499528250324|adults_50up_male_urban.json
169-39-3043|3583402337272311|Daniel|Hampton|M|8276 Patricia Neck|Minneapolis|MN|55430|45.0639|-93.3022|1022298|Secretary/administrator|1994-08-10|591731150074|adults_2550_male_urban.json
